id,tanggal,lokasi_dominan
1,21/05/19,Jakarta Pusat
2,21/05/19,Kabupaten Bogor
3,21/05/19,Jakarta Pusat
4,21/05/19,Kota Tangerang
5,21/05/19,Kota Bogor
6,21/05/19,Kota Bogor
7,21/05/19,Kota Depok
8,21/05/19,Kota Depok
9,21/05/19,Kota Bogor
10,21/05/19,Jakarta Timur
11,21/05/19,Kota Bekasi
12,21/05/19,Kota Bekasi
13,21/05/19,Jakarta Selatan
14,21/05/19,Kabupaten Bogor
15,21/05/19,Jakarta Utara
16,21/05/19,Kota Bekasi
17,21/05/19,Kota Tangerang
18,21/05/19,Jakarta Barat
19,21/05/19,Kabupaten Tangerang
20,21/05/19,Kota Bogor
21,21/05/19,Jakarta Pusat
22,21/05/19,Kota Tangerang
23,21/05/19,Kabupaten Bogor
24,21/05/19,Kota Bogor
25,21/05/19,Kota Bogor
26,21/05/19,Jakarta Utara
27,21/05/19,Kota Bekasi
28,21/05/19,Kota Tangerang
29,21/05/19,Kabupaten Bogor
30,21/05/19,Kota Depok
31,21/05/19,Jakarta Timur
32,21/05/19,Kota Bekasi
33,21/05/19,Kota Bogor
34,21/05/19,Kabupaten Bekasi
35,21/05/19,Jakarta Selatan
36,21/05/19,Kota Bekasi
37,21/05/19,Kota Depok
38,21/05/19,Kabupaten Bekasi
39,21/05/19,Jakarta Pusat
40,21/05/19,Jakarta Utara
41,21/05/19,Kota Tangerang Selatan
42,21/05/19,Jakarta Pusat
43,21/05/19,Kota Depok
44,21/05/19,Kabupaten Tangerang
45,21/05/19,Kabupaten Tangerang
46,21/05/19,Kota Bekasi
47,21/05/19,Kota Depok
48,21/05/19,Kabupaten Bekasi
49,21/05/19,Jakarta Timur
50,21/05/19,Kota Tangerang Selatan
51,21/05/19,Jakarta Pusat
52,21/05/19,Kota Bogor
53,21/05/19,Jakarta Timur
54,21/05/19,Kota Bekasi
55,21/05/19,Jakarta Pusat
56,21/05/19,Kabupaten Bogor
57,21/05/19,Jakarta Timur
58,21/05/19,Kota Bekasi
59,21/05/19,Jakarta Selatan
60,21/05/19,Jakarta Pusat
61,21/05/19,Jakarta Selatan
62,21/05/19,Jakarta Barat
63,21/05/19,Jakarta Barat
64,21/05/19,Jakarta Timur
65,21/05/19,Kota Tangerang Selatan
66,21/05/19,Kota Bogor
67,21/05/19,Jakarta Utara
68,21/05/19,Jakarta Utara
69,21/05/19,Kota Bekasi
70,21/05/19,Jakarta Selatan
71,21/05/19,Jakarta Utara
72,21/05/19,Kota Depok
73,21/05/19,Kabupaten Bogor
74,21/05/19,Jakarta Utara
75,21/05/19,Kota Tangerang Selatan
76,21/05/19,Jakarta Timur
77,21/05/19,Kabupaten Bogor
78,21/05/19,Kota Depok
79,21/05/19,Kota Bogor
80,21/05/19,Kota Bogor
81,21/05/19,Kabupaten Bekasi
82,21/05/19,Jakarta Utara
83,21/05/19,Kabupaten Bekasi
84,21/05/19,Jakarta Timur
85,21/05/19,Kabupaten Bekasi
86,21/05/19,Kota Tangerang
87,21/05/19,Kota Depok
88,21/05/19,Kota Tangerang
89,21/05/19,Jakarta Barat
90,21/05/19,Kota Depok
91,21/05/19,Jakarta Barat
92,21/05/19,Kota Depok
93,21/05/19,Jakarta Barat
94,21/05/19,Kota Bogor
95,21/05/19,Kota Tangerang Selatan
96,21/05/19,Kota Bogor
97,21/05/19,Kota Tangerang Selatan
98,21/05/19,Jakarta Timur
99,21/05/19,Jakarta Timur
100,21/05/19,Jakarta Timur
1,22/05/19,Jakarta Pusat
2,22/05/19,Kabupaten Bogor
3,22/05/19,Jakarta Timur
4,22/05/19,Kota Tangerang
5,22/05/19,Jakarta Barat
6,22/05/19,Jakarta Utara
7,22/05/19,Jakarta Utara
8,22/05/19,Kota Bekasi
9,22/05/19,Kota Bogor
